username;password;firstName;lastName;title;supervisor;role
Mirja;test;Mirja;Pirinen;HR-manager;No supervisor;admin
Pasi;test;Pasi;Jokinen;CEO;No supervisor;admin
Tauno;test;Tauno;Jokinen;Senior SW-developer;Pasi;admin
Jouni;test;Jouni;Jokinen;Game Engine Team Leader;Tauno;director
Kaisa;test;Kaisa;Pirinen;Game Graphics Developer;Tauno;supervisor
Mika;test;Mika;Kangas;SW-developer;Tauno;employer
Petri;test;Petri;Jokinen;SW-trainee;Pasi;supervisor
Suvi;test;Suvi;Jokinen;Company layer;Petri;employer
Tuija;test;Tuija;Leinonen;SW-developer;Petri;employer
Tero;test;Tero;Leinonen;System architect;Petri;employer
